name,release_number
it.mobimentum.dualsimwidget,2004
it.niedermann.owncloud.notes,16
it.rignanese.leo.slimfacebook,47
it.rignanese.leo.slimtwitter,5
italian.said.fran.theitaliansaid,2
jonas.tool.saveForOffline,21
jp.redmine.redmineclient,56
kaba.yucata.envoy,500
kiwi.root.anlinuxclient,8
kmac.dejavu_fonts,10
koeln.mop.elpeefpe,2
lanchon.sigspoof.checker,1
link.standen.michael.fatesheets,8
link.standen.michael.phonesaver,24
link.standen.michael.slideshow,38
max.music_cyclon,2
mbmb.lumixextendedcontrolapp,1
me.alexghr.bulkshare.android.app,3
me.danielbarnett.addresstogps,14
me.dbarnett.acastus,15
me.guillaumin.android.osmtracker,37
me.hda.urlhda,4
me.jakelane.wrapperforfacebook,14
me.johnmh.boogdroid,14
me.murks.filmchecker,3
me.sheimi.sgit,110
me.shrimadhavuk.numselapp,1
me.shrimadhavuk.watransmitter,3
me.tripsit.tripmobile,13
me.tsukanov.counter,18
me.zeeroooo.materialfb,59
menion.android.whereyougo,44
ml.adamsprogs.bimba,8
moe.minori.pgpclipper,4
naman.timber,14
name.seguri.android.lock,4
net.alaindonesia.silectric,1220161217
net.bierbaumer.otp_authenticator,3
net.czlee.debatekeeper,23
net.daverix.urlforward,6
net.ddns.mlsoftlaberge.trycorder,520
net.fabiszewski.ulogger,107
net.gaast.giggity,70
net.glsk.wpgen,133
net.gsantner.markor,16
net.iexos.musicalarm,2
net.inbox.pager,5
net.kourlas.voipms_sms,117
net.loeuillet.wifi_eap_sim_conf,1
net.nullsum.audinaut,190
net.pmarks.chromadoze,23
net.sourceforge.wifiremoteplay,9
net.usikkert.kouchat.android,15
net.wigle.wigleandroid,210
net.zygotelabs.locker,11
nl.yoerinijs.notebuddy,15
org.afhdownloader,10
org.ametro,40
org.amoradi.syncopoli,12
org.androidpn.client,20160415
org.andstatus.app,240
org.asdtm.fas,3
org.asnelt.derandom,11
org.asteroidos.sync,8
org.basketbuilddownloader,11
org.bienvenidoainternet.app,12
org.billthefarmer.accordion,112
org.billthefarmer.currency,115
org.billthefarmer.diary,125
org.billthefarmer.editor,118
org.billthefarmer.melodeon,110
org.bobstuff.bobball,24
org.cry.otp,21
org.csploit.android,6
org.daylightingsociety.wherearetheeyes,6
org.disrupted.rumble,16
org.domogik.domodroid,33
org.epstudios.epmobile,50
org.epstudios.morbidmeter,15
org.equeim.tremotesf,9
org.ethack.orwall,40
org.fedorahosted.freeotp,17
org.fitchfamily.android.dejavu,10
org.fitchfamily.android.symphony,10
org.flyve.inventory.agent,37960
org.gateshipone.malp,22
org.gateshipone.odyssey,24
org.gittner.osmbugs,27
org.herrlado.ask.languagepack.czech,259
org.hlwd.bible,20180107
org.hwyl.sexytopo,15
org.icasdri.mather,300
org.indywidualni.fblite,51
org.jak_linux.dns,20
org.jsl.shmp,1
org.jsl.wfwt,14
org.kaqui,27
org.kde.kdeconnect_tp,1660
org.kore.kolabnotes.android,92
org.legtux.m_k.fortune,2
org.lf_net.pgpunlocker,2017051001
org.ligi.blexplorer,12
org.ligi.fast,67
org.ligi.ipfsdroid,10
org.ligi.materialteatimer,14
org.mcxa.vortaro,2
org.miamplayer.autoairplanemode,1
org.michaelevans.nightmodeenabler,1
org.microg.nlp.backend.apple,10200
org.mmk.cyngn.theme.fira,1
org.ninthfloor.copperpdf,4
org.notabug.lifeuser.moviedb,190
org.nuntius.wrongpinshutdown,5
org.nv.openmanga,1116
org.openbmap.unifiedNlp,20
org.openbmap,24
org.opengappsdownloader,8
org.opengemara.shiurim,4
org.openintents.filemanager,39
org.openintents.flashlight,10015
org.openintents.notepad,10084
org.openlp.android,6
org.openobservatory.ooniprobe,17
org.osmocom.tacdatabaseclient,1
org.polaric.cyanogenmodchangelog,66
org.primftpd,30
org.proninyaroslav.libretorrent,7
org.pulpdust.lesserpad,38
org.quantumbadger.redreader,83
org.schabi.kiba,2
org.schabi.newpipe,46
org.schabi.nxbookmarks.owncloud,3
org.schabi.nxbookmarks,3
org.schabi.openhitboxstreams,1
org.schabi.svgredirect,1
org.schabi.terminightor,12
org.scoutant.blokish,20
org.secuso.privacyfriendlyactivitytracker,6
org.secuso.privacyfriendlydicer,6
org.secuso.privacyfriendlymemory,3
org.secuso.privacyfriendlynetmonitor,7
org.secuso.privacyfriendlynotes,2
org.secuso.privacyfriendlypasswordgenerator,1
org.secuso.privacyfriendlypin,6
org.secuso.privacyfriendlyruler,3
org.secuso.privacyfriendlysudoku,5
org.secuso.privacyfriendlytodolist,2
org.secuso.privacyfriendlyweather,2
org.secuso.privacyfriendlyyahtzeedicer,5
org.sensors.osc,2
org.sensors.pd,1
org.shadowice.flocke.andotp,14
org.strawberryforum.pollywog,1
org.sufficientlysecure.ical,57
org.sufficientlysecure.localcalendar,9
org.sufficientlysecure.viewer,2807
org.sugr.gearshift,88
org.surrel.facebooknotifications,13
org.surrel.messengerbypasser,2
org.swsoftwares.starkeverben,6
org.t.synconwifi,3
org.thecongers.mtpms,4
org.thosp.yourlocalweather,19
org.toulibre.capitoledulibre,11
org.transdroid.search,30
org.tuxpaint,10
org.tw.onze.cmtheme,37
org.twelf.cmtheme,44
org.voidptr.swpieview,15
org.voidsink.anewjkuapp,140059
org.whitequark.sipcaller,1
org.xphnx.ameixa,52
org.xphnx.ameixamonochrome,52
org.xphnx.iconsubmit,4
org.xposeddownloader,12
org.yaaic,13
org.yk.trackbook,19
ovh.ice.icecons,12
peanutencryption.peanutencryption,4
pk.contender.earmouse,27
player.efis.data.eur.rus,3
player.efis.data.pan.arg,3
player.efis.data.sah.jap,3
player.efis.data.usa.can,3
player.efis.data.zar.aus,3
player.efis.mfd,4
player.efis.pfd,17
protect.babysleepsounds,14
protect.budgetwatch,23
protect.card_locker,21
protect.rentalcalc,5
rino.org.tethercompanion,2
ro.mihai.tpt,41
ru.exlmoto.snood,3
ru.glesik.wifireminders,125
ru.meefik.busybox,34
ru.sashk.bluetooth_terminal,2
ru.valle.btc,260
ru.zxalexis.ugaday,14
ryey.camcov,9
ryey.easer,54
ryey.flock,8
saschpe.contactevents,160176
science.itaintrocket.pomfshare,2
souch.smp,14
souch.smsbypass,9
sun.bob.leela,2
swatistar.createpdf,1
systems.byteswap.aiproute,1
telegra.ph,7
tk.al.dev.badpixels,4
tk.radioactivemineral.metronome,5
tkj.android.homecontrol.mythmote,2908
tmendes.com.analyticalbalancedroid,3
tomer.com.alwaysonamoledplugin,3
tranquvis.simplesmsremote,120
uk.co.ashtonbrsc.android.intentintercept,224
uk.co.bitethebullet.android.token,6
uk.co.keepawayfromfire.screens,8
uk.co.yahoo.prpp.calendartrigger,4
us.feras.mdv.demo,2
us.koller.cameraroll,34
us.lindanrandy.cidrcalculator,125
vnd.blueararat.kaleidoscope,21
vocabletrainer.heinecke.aron.vocabletrainer,13
wiseguys.radar,11
wseemann.media.romote,8
x.bullseye,2
xio.initdlight,2
za.co.lukestonehm.logicaldefence,22
